address,wonTickets,finalTokens
0xCEA525eE12e751379e3B0e8fE4a737E8A8d15622,2,8031000000
0x0f7bF2e6BEbf3d352405B0f855d4B6fC6Fe50b3F,1,4015500000
0x944C6C8882012CcD4FFd2911a7F1fDC520c9a561,1,4015500000
0x34FeE623474A202143aDD25602f531Be0Fbe5458,20,80310000000
0xaF7CCDd3a690EF9bF55c9C4e522f4429cc85f392,3,12046500000
0x45de1c3b41596224C51C66FC286aA5B363511DCb,1,4015500000
0x23198cBf617e8003E6B9d888fefc9F22DFFeAfa9,1,4015500000
0x61EC94F740707F8cE243b80F765A2b95196f1c5A,1,4015500000
0x4815366bB6f74796173c8Bea057B5919810138a6,25,100387500000
0xC8b122195f3657578A4705721633308A4264ae8A,2,8031000000
0x3125eD60Dd85E43383e369bBf9b4DE68100B9bA1,1,4015500000
0x1dEc530a07c8f1C16BEF63B763A99407835c2C25,10,40155000000
0x95F1946634F3F819E4b3Fd61559CB2187dE29e27,37,148573500000
0xb8D32a1508830AB845be35D0095b54430F269559,3,12046500000
0x3A9272b13D3D262bB7944f2e5c1FEe681aF4B247,15,60232500000
0x5140CEB53a00dB80C3F094fB312fa91fa44fAaf3,1,4015500000
0x6c7184274Bdd853023eb8E6A89242dCAEFdCb922,1,4015500000
0xa144E2a63d20A653eE10B7aeA763b23C77ef60c6,3,12046500000
0x08b35d6cffFF52e3D619140Ad88ED43d9C6e66D8,2,8031000000
0x1b68DdDb49D763DAA012e164DE0359fC046aD8aF,1,4015500000
0x147B413E89251C5c4F0cc2b3b5Ca315Ea5137b8a,1,4015500000
0x1407A78Eda9d3de8A9E5f40636660fBe20920f15,2,8031000000
0xB98A815B3D0aF4D99e9D05DF7Bfbeb17e47F5eD6,1,4015500000
0xA3a94A0CAFBe7074afbca75Df64666A6E2DADAc0,80,321240000000
0xd7e7e3c613758099702b8feDD444Be85C16C0E1C,65,261007500000
0x417487275239E0f6c5AC79f5D60135eCf118169b,8,32124000000
0x27a7A3355D2D51F413D7d73e069A17cB106f13Be,29,116449500000
0x8cB1F920e437791A97443cC81b62476120D30e40,5,20077500000
0x705DB10C7446f3FE3F27DF8C9CE420144AA2eAFA,12,48186000000
0x2BB43FF4663a4209e66222F2320537B4bfdcB693,3,12046500000
0xc1D9c776Ef4BA56026bB47F16e36C6A4bdAB7d9E,1,4015500000
0xC1D0BAd29d021fe2b0698ce5c171Bd80185d5d6B,2,8031000000
0x48BD7f6658A7098B83b51b1b6E7A509e382D8aCf,1,4015500000
0xca5F55Dc12F2e44194F07eFB9cf62ae3b7c114F8,1,4015500000
0xe39c9fDc2145eE5bB7CF02A4BB7aBb411685d980,4,16062000000
0xcD29a73e18395ad3f682e641121D8b28b410229b,1,4015500000
0x41089B971D22ed2be9E0Dabb7Da3b5A702B737f5,1,4015500000
0x75B555ea9fb26f78E8014805DFA49E2AFb7b9778,2,8031000000
0x8F5ef19b7e71F85ff7D09C6a33bfd0e5D86df9A6,22,88341000000
0xE61EcC646799Bb74405E676656C0F6300D0ab999,22,88341000000
0xdE54139d9592128EE73B5F8f72e8d0A8DCAA5191,3,12046500000
0x7990bD07f6AFA5004bb1ea3e09e4DBEA32a76cda,4,16062000000
0x9C053Cda1fe2a8A44149319954B17203383Ea9F0,9,36139500000
0x1FDA16d5111f639D20ac78b31742b152729b421F,8,32124000000
0xc3E2Fca92fb40f53A4a92994CB9cbA6e33EE0148,23,92356500000
0xf71c90eF0314fE4DB2B2eE1921294dF6273769F8,8,32124000000
0xd94DBE4cb4c924B997aD244Af2Ea458B371E1997,1,4015500000
0x095d2C4D5C9412a647EBC52Afc10ab021aE51Aa3,1,4015500000
0x70F6B77D6B75A5e64551760E069cB5FbD1A634Bd,1,4015500000
0x119A468dea5FA18E676587a6cF8E0Cb4898cBAb9,3,12046500000
0xF4b0d517f671A01dc90dFBA3c4402B117b0A7ADd,1,4015500000
0xebCA732d7d2a09Ab8A2D1E9AF10da88f70c15a09,1,4015500000
0x6C706335e2AE648B084985E14ad5Fb2A11005168,9,36139500000
0x9d06a4934772ec9F8019e4849D4F98fe0836deE4,10,40155000000
0x596Ac523A2F887D44BA69d3144A17b7def627aF8,9,36139500000
0x96c4c9CD98eB02ba00F2731e4ffB965Fa2A41923,420,1686510000000
0x16c5100CF9543C62f0f4943e434442790bC82783,1,4015500000
0xB82d5544Eb467Cf2FbbcC3882b0a4847B5fBc8e9,17,68263500000
0xaeAf014cF88Edc5d666077D7c017D19A44F74505,5,20077500000
0x2dB391D6449AcE0f6008B587321A1CFd9C7b2879,68,273054000000
0xff12faF1b14b3Bd54268f9D23D243F36b2CC8a94,10,40155000000
0x777a083B510023f37417209B8F9D8E23fD4A3ba3,1,4015500000
0xf17fad1fC969136311150d06791E6Ce891E25277,1,4015500000
0x837Ea8C791379BD69a1a85C5Db08c9cac233aC6B,2,8031000000
